parameter,csv_file,column_name,priority_rank,quality_score,confidence,reasoning,calculation,method,expert_validation,sample_context
EffectiveAngleFriction,CPT by Geology.csv,InternalFrictionAngle,2,6,MEDIUM,Empirically derived friction angle from CPT tip resistance and sleeve friction using established correlations. CPT correlations typically align with critical state rather than peak strength making this suitable secondary source for φ'cs parameter.,,Field/Lab Correlation,VALIDATED - Good for spatial profiling of critical state,
EffectiveAngleFriction,Triaxial Effective Stress by Geology.csv,Phi,1,9,HIGH,Critical state friction angle (φ'cs) from CU triaxial testing. Test Type 'CU3' confirms effective stress measurement with pore pressure control. Represents constant volume shear strength at large strains - appropriate for stability analysis where peak strength cannot be mobilized globally.,,Direct Lab Measurement,VALIDATED - Primary source for critical state strength,
AngleFrictionPeak,Shear Box by Geology.csv,Peak Angle of Friction,2,8,HIGH,Direct peak friction angle measurement from shear box. Expert validation: Reliable direct measurement ranked below triaxial due to forced failure plane constraining dilation and may not capture true peak strength mobilization.,,Direct Lab Measurement,VALIDATED,
AngleFrictionResidual,Shear Box by Geology.csv,Residual Angle of Friction,1,9,HIGH,Industry-standard direct measurement for residual friction angle. Shear box testing with large displacement capability allows soil particles to fully re-orient along shear surface providing true φ'res measurement. Essential for slope stability analysis at large strains and existing shear surfaces.,,Direct Lab Measurement,VALIDATED - Only appropriate source for residual strength,
BulkDensityMoistureContentOptimum,MCV by Geology.csv,BulkDensity,3,6,MEDIUM,Bulk density measurement but ambiguous condition - could be at OMC or natural moisture content. Context dependent,,Secondary Reported Data,VALIDATED,
BulkDensityMoistureContentOptimum,Classification by Geology.csv,Bulk Density,3,6,MEDIUM,Bulk density measurement but ambiguous condition - reliability increases if associated OMC value present,,Secondary Reported Data,VALIDATED,
CoefficientConsolidation,Consolidation by Geology.csv,Coefficient of consolidation Root Time,3,9,HIGH,High-quality cv measurement using Taylor root-time method from time-settlement curves. Alternative curve-fitting approach to Casagrande method. Provides verification and backup for consolidation coefficient determination with transparent methodology.,,Direct Lab Measurement,VALIDATED - Taylor method standard,
CoefficientVolumeCompressibility,Consolidation by Geology.csv,Volume Compressibility Coefficient,1,9,HIGH,Primary direct measurement of volume compressibility coefficient (mv) from oedometer testing. Industry-standard one-dimensional consolidation test provides fundamental parameter for settlement magnitude calculations. High quality but lacks stress range specification for score 10.,,Direct Lab Measurement,VALIDATED - Primary source for mv,
Cell Pressure,Consolidation by Geology.csv,Stress at Stage End,,,,,,,,
Cohesion2,Shear Box by Geology.csv,Peak Cohesion Intercept,2,8,HIGH,Direct effective cohesion measurement from shear box testing. Expert validation: Direct measurement ranked below triaxial because test imposes horizontal failure plane which may not represent weakest path and drainage conditions less precisely controlled.,,Direct Lab Measurement,VALIDATED,
Cohesion,Triaxial Effective Stress by Geology.csv,Cu,1,10,HIGH,Direct effective cohesion from CU triaxial with pore pressure measurement. Test Type 'CU3' confirms effective stress analysis with precise stress path control per BS 1377. Expert validation: Most reliable direct measurement providing well-defined Mohr-Coulomb failure envelope under controlled stress paths.,,Direct Lab Measurement,VALIDATED,
DryDensityMax,Compaction by Geology.csv,Max Dry Density,1,9,HIGH,Direct primary source - definitive test performed specifically to determine Maximum Dry Density and Optimum Moisture Content. Direct output of standard compaction test (BS 1377-4 ASTM D698/D1557). WARNING: Standard vs Modified Proctor method unspecified.,Direct measurement from compaction curve peak,Direct Lab Measurement,VALIDATED,Proctor compaction testing (method unspecified)
DryDensityMax,Compaction by Geology.csv,Max Dry Density,1,10,HIGH,Most direct and unambiguous terminology for Maximum Dry Density from Proctor compaction testing per ASTM D698/D1557,,Direct Lab Measurement,VALIDATED,
DryDensityMax,Compaction by Geology.csv,Maximum Dry Density,1,10,HIGH,"Identical meaning to Max Dry Density, equally reliable direct measurement from compaction testing",,Direct Lab Measurement,VALIDATED,
DryDensityMax,Compaction by Geology.csv,Maximum Dry Density,2,9,HIGH,Direct primary source - synonym for Max Dry Density from compaction testing. Same quality as primary source. WARNING: Standard vs Modified Proctor method unspecified.,Direct measurement from compaction curve peak,Direct Lab Measurement,VALIDATED,Proctor compaction testing (method unspecified)
FinesContent,Grading by Geology.csv,Fines Percentage,1,10,HIGH,Direct measurement of fines content (particles <0.063mm) from grading analysis,Direct,Laboratory Testing,Validated,Particle size distribution analysis from grading tests
LinearShrinkage,Classification by Geology.csv,Shrinkage Limit,1,10,HIGH,Direct measurement of linear shrinkage from classification testing,Direct,Laboratory Testing,Validated,Clay classification testing for shrinkage behavior assessment
LiquidLimit,Classification by Geology.csv,Liquid Limit,1,7,HIGH,Upper boundary of plastic range measured using Casagrande cup or fall cone method (BS 1377-2 ASTM D4318). Key input for USCS classification and empirical correlations. Quality reflects test method operator dependency but high importance for engineering behavior prediction.,Direct measurement from Casagrande cup or fall cone test,Direct Lab Measurement,VALIDATED,Atterberg Limits testing - operator dependent but critical
MoistureConditionValue,MCV by Geology.csv,MCV,1,10,HIGH,Primary direct measurement from California modified impact test. Industry-standard test for assessing soil suitability for earthworks and compaction behavior. Critical parameter for pavement subgrade evaluation and construction quality control.,,Direct Lab Measurement,VALIDATED - Gold standard MCV measurement,
